network_id,fecha,hora,billed,provider,segments,segment_number,is_unicode,failed,excluded,reason,total_characters,message_type,alias_provider,cuenta
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,5,false,false,false,,71,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,6,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,6,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,7,false,false,false,,68,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,8,false,false,false,,70,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,9,false,false,false,,61,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,9,9,false,false,false,,62,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,10,2,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,10,4,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,1,false,false,false,,69,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,5,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,6,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,6,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,7,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,8,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,9,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,10,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,10,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,11,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,12,false,false,false,,50,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,12,false,false,false,,54,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,12,false,false,false,,55,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,12,12,false,false,false,,66,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,1,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,2,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,3,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,4,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,5,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,6,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,8,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,9,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,12,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,13,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,15,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,16,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_1,20,19,false,false,false,,70,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,26,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,37,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,107,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,123,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,135,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,142,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,144,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,149,flash,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,149,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,151,flash,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,153,flash,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,154,flash,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,154,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,155,flash,rob2tel,34
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,159,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,2,1,false,false,false,,153,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,2,2,false,false,false,,10,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,1,false,false,false,,67,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,3,false,false,false,,68,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,4,false,false,false,,68,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,5,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,5,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,6,false,false,false,,67,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,7,false,false,false,,19,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,7,7,false,false,false,,29,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,1,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,2,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,3,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,4,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,5,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,6,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,7,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,8,false,false,false,,4,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,8,8,false,false,false,,15,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,1,false,false,false,,68,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,2,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,3,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,4,false,false,false,,67,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,5,false,false,false,,70,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,5,false,false,false,,71,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,6,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,6,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,7,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,8,false,false,false,,70,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,9,false,false,false,,60,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,9,9,false,false,false,,61,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,10,7,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,10,8,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,10,9,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,10,10,false,false,false,,66,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,1,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,2,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,3,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,5,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,7,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,8,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,9,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,12,11,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,1,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,2,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,9,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,10,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,11,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,13,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,14,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,17,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,18,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_2,20,20,false,false,false,,29,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,26,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,37,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,38,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,107,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,149,flash,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,151,flash,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,152,flash,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,154,flash,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,154,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,155,flash,rob2tel,28
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,157,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,158,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,159,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,1,0,false,false,false,,161,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,2,1,false,false,false,,153,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,1,false,false,false,,67,sms,rob2tel,6
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,2,false,false,false,,68,sms,rob2tel,7
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,3,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,4,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,4,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,5,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,5,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,6,false,false,false,,67,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,6,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,6,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,7,false,false,false,,17,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,7,false,false,false,,18,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,7,7,false,false,false,,31,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,1,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,2,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,3,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,4,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,4,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,5,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,5,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,6,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,7,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,7,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,8,8,false,false,false,,13,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,1,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,2,false,false,false,,67,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,3,false,false,false,,67,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,4,false,false,false,,67,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,5,false,false,false,,70,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,5,false,false,false,,71,sms,rob2tel,5
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,6,false,false,false,,67,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,7,false,false,false,,68,sms,rob2tel,3
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,8,false,false,false,,70,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,9,false,false,false,,60,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,9,false,false,false,,61,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,9,9,false,false,false,,63,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,10,1,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,10,3,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,10,5,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,10,6,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,2,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,2,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,3,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,4,false,false,false,,67,sms,rob2tel,4
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,5,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,6,false,false,false,,68,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,8,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,8,false,false,false,,68,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,9,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,10,false,false,false,,67,sms,rob2tel,2
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,12,11,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,20,3,false,false,false,,69,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,20,4,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,20,6,false,false,false,,67,sms,rob2tel,1
,2026-07-22,13,true,GW_ROBOT_TELCEL_3,20,7,false,false,false,,68,sms,rob2tel,2
